tile_n16,tile_16,landuse
"Tile(tms_x=38261, tms_y=46447, zoom=16)",1421,residential
"Tile(tms_x=39579, tms_y=45097, zoom=16)",10574,residential
"Tile(tms_x=41715, tms_y=45101, zoom=16)",27939,n/a
"Tile(tms_x=38294, tms_y=46444, zoom=16)",3081,grass
"Tile(tms_x=47866, tms_y=44795, zoom=16)",35630,grass
"Tile(tms_x=47869, tms_y=44840, zoom=16)",35725,garages
"Tile(tms_x=47859, tms_y=44814, zoom=16)",35452,n/a
"Tile(tms_x=43630, tms_y=44418, zoom=16)",31526,n/a
"Tile(tms_x=38284, tms_y=46505, zoom=16)",2351,grass
"Tile(tms_x=39664, tms_y=45019, zoom=16)",17101,retail
"Tile(tms_x=39625, tms_y=45095, zoom=16)",14787,grass
"Tile(tms_x=39554, tms_y=44943, zoom=16)",9501,meadow
"Tile(tms_x=39624, tms_y=45058, zoom=16)",14688,residential
"Tile(tms_x=38310, tms_y=46472, zoom=16)",4046,industrial
"Tile(tms_x=38311, tms_y=46471, zoom=16)",4083,retail
"Tile(tms_x=39877, tms_y=41970, zoom=16)",20398,n/a
"Tile(tms_x=39585, tms_y=45009, zoom=16)",10888,n/a
"Tile(tms_x=39607, tms_y=44967, zoom=16)",12977,industrial
"Tile(tms_x=39603, tms_y=44930, zoom=16)",12567,grass
"Tile(tms_x=46109, tms_y=44798, zoom=16)",34312,n/a
"Tile(tms_x=46109, tms_y=44808, zoom=16)",34318,grass
"Tile(tms_x=49680, tms_y=45145, zoom=16)",37494,grass
"Tile(tms_x=49700, tms_y=45135, zoom=16)",37759,commercial
"Tile(tms_x=39624, tms_y=45095, zoom=16)",14713,grass
"Tile(tms_x=38283, tms_y=46476, zoom=16)",2264,grass
"Tile(tms_x=38286, tms_y=46441, zoom=16)",2431,industrial
"Tile(tms_x=39527, tms_y=44983, zoom=16)",9004,n/a
"Tile(tms_x=39602, tms_y=44905, zoom=16)",12454,residential
"Tile(tms_x=39584, tms_y=45015, zoom=16)",10829,industrial
"Tile(tms_x=38256, tms_y=46502, zoom=16)",1364,grass
"Tile(tms_x=39596, tms_y=45045, zoom=16)",11821,industrial
"Tile(tms_x=42969, tms_y=44731, zoom=16)",30585,industrial
"Tile(tms_x=39636, tms_y=45040, zoom=16)",15522,industrial
"Tile(tms_x=39601, tms_y=45057, zoom=16)",12412,grass
"Tile(tms_x=39662, tms_y=45125, zoom=16)",17043,residential
"Tile(tms_x=40867, tms_y=42960, zoom=16)",25914,residential
"Tile(tms_x=39643, tms_y=45051, zoom=16)",16041,industrial
"Tile(tms_x=41712, tms_y=45069, zoom=16)",27871,grass
"Tile(tms_x=41905, tms_y=44250, zoom=16)",29005,grass
"Tile(tms_x=39854, tms_y=41964, zoom=16)",19805,n/a
"Tile(tms_x=40769, tms_y=45239, zoom=16)",25400,grass
"Tile(tms_x=41922, tms_y=44283, zoom=16)",29255,residential
"Tile(tms_x=43808, tms_y=45392, zoom=16)",32539,grass
"Tile(tms_x=43803, tms_y=45429, zoom=16)",32407,recreation_ground
"Tile(tms_x=39658, tms_y=45017, zoom=16)",16789,grass
"Tile(tms_x=40792, tms_y=45228, zoom=16)",25680,grass
"Tile(tms_x=48455, tms_y=44918, zoom=16)",36871,residential
"Tile(tms_x=39660, tms_y=45135, zoom=16)",16942,residential
"Tile(tms_x=39547, tms_y=45129, zoom=16)",9366,residential
"Tile(tms_x=39667, tms_y=46179, zoom=16)",17260,grass
"Tile(tms_x=40965, tms_y=44233, zoom=16)",26378,n/a
"Tile(tms_x=39864, tms_y=41979, zoom=16)",20066,residential
"Tile(tms_x=39983, tms_y=42018, zoom=16)",21613,forest
"Tile(tms_x=39576, tms_y=45099, zoom=16)",10382,residential
"Tile(tms_x=39624, tms_y=45077, zoom=16)",14699,industrial
"Tile(tms_x=48622, tms_y=44421, zoom=16)",36935,industrial
"Tile(tms_x=38379, tms_y=46471, zoom=16)",4820,n/a
"Tile(tms_x=40020, tms_y=42558, zoom=16)",22516,retail
